artist,track,url
"Naive New Beaters","Heal Tomorrow","https://www.youtube.com/embed/j6j99zeOCOk?autoplay=1&start=38&end=68&controls=0"
"Village People","YMCA","https://www.youtube.com/embed/DP5qPb_zDUc?autoplay=1&start=37&end=67&controls=0"
"The Beach Boys","Wouldn't It Be Nice","https://www.youtube.com/embed/dmcNbsLCpBQ?autoplay=1&start=56&end=86&controls=0"
"d4vd","You and I","https://www.youtube.com/embed/K7Us2s0n8mg?autoplay=1&start=41&end=71&controls=0"
"The Weeknd","Wake Me Up (feat. Justice)","https://www.youtube.com/embed/QNGCMgvcbpA?autoplay=1&start=39&end=69&controls=0"
"d4vd","This Is How It Feels (with Laufey)","https://www.youtube.com/embed/KFNfB1-sI3g?autoplay=1&start=40&end=70&controls=0"
"Chase Atlantic","Numb to the Feeling","https://www.youtube.com/embed/j-_vl5AXsj0?autoplay=1&start=57&end=87&controls=0"
"Nirvana","Heart-Shaped Box","https://www.youtube.com/embed/_ouLbeRz_yU?autoplay=1&start=39&end=69&controls=0"
"Rihanna","Push Up On Me","https://www.youtube.com/embed/5X-l69MAJKM?autoplay=1&start=32&end=62&controls=0"
"Nekfeu","Reuf","https://www.youtube.com/embed/0233MFN2N4g?autoplay=1&start=36&end=66&controls=0"
"Conan Gray","Heather","https://www.youtube.com/embed/GPUg7n8-M6o?autoplay=1&start=36&end=66&controls=0"
"Kim Wilde","Kids In America","https://www.youtube.com/embed/i5HDfxDW7Ck?autoplay=1&start=44&end=74&controls=0"
"Radiohead","Idioteque","https://www.youtube.com/embed/svwJTnZOaco?autoplay=1&start=30&end=60&controls=0"
"Luther","MA VIE D'AVANT","https://www.youtube.com/embed/pf6am3EFQps?autoplay=1&start=38&end=68&controls=0"
"d4vd","Sky","https://www.youtube.com/embed/_eOQDkiLvE0?autoplay=1&start=47&end=77&controls=0"
"Depeche Mode","Personal Jesus","https://www.youtube.com/embed/NoPFB8h2-Sg?autoplay=1&start=47&end=77&controls=0"
"Fontaines D.C.","Starburster","https://www.youtube.com/embed/DDHvKo5NnII?autoplay=1&start=40&end=70&controls=0"
"Elton John","Don't Go Breaking My Heart","https://www.youtube.com/embed/DH7kBuZ5GZk?autoplay=1&start=48&end=78&controls=0"
"Arcane","Remember Me - From The Series ""Arcane League of Legends""","https://www.youtube.com/embed/Tg9yLrJTmTc?autoplay=1&start=52&end=82&controls=0"
"Rodrigo Amarante","Tuyo (Narcos Theme) [Extended Version] - A Netflix Original Series Soundtrack","https://www.youtube.com/embed/GJm7H9IP5SU?autoplay=1&start=58&end=88&controls=0"
"Marvin Gaye","Let's Get It On","https://www.youtube.com/embed/tQj1kPmQXwE?autoplay=1&start=50&end=80&controls=0"
"Gorillaz","Feel Good Inc.","https://www.youtube.com/embed/ZxVw7bvMd3s?autoplay=1&start=53&end=83&controls=0"
"Creedence Clearwater Revival","Fortunate Son","https://www.youtube.com/embed/3RmQTYLD398?autoplay=1&start=34&end=64&controls=0"
"Chase Atlantic","SLIDE","https://www.youtube.com/embed/tOVIeLZtxDc?autoplay=1&start=46&end=76&controls=0"
"Conan Gray","People Watching","https://www.youtube.com/embed/noJ4I3RBoEY?autoplay=1&start=40&end=70&controls=0"
"The Weeknd","Opening Night","https://www.youtube.com/embed/MYZAi6GLXyM?autoplay=1&start=48&end=78&controls=0"
"Arcane","这样很好 (Isha's Song) (from the series Arcane League of Legends)","https://www.youtube.com/embed/n68BF6IlGhk?autoplay=1&start=59&end=89&controls=0"
"Amy Winehouse","Rehab","https://www.youtube.com/embed/XOjDJRiUeGE?autoplay=1&start=51&end=81&controls=0"
"Stromae","Ma Meilleure Ennemie (from the series Arcane League of Legends)","https://www.youtube.com/embed/j-RpvIuazmc?autoplay=1&start=45&end=75&controls=0"
"The Weeknd","Reflections Laughing (feat. Travis Scott, Florence + The Machine)","https://www.youtube.com/embed/e_zUE17NodI?autoplay=1&start=58&end=88&controls=0"
"Gigi Perez","Figurines","https://www.youtube.com/embed/PlB-KTKptYU?autoplay=1&start=41&end=71&controls=0"
"Elton John","I'm Still Standing","https://www.youtube.com/embed/RMndME63PMo?autoplay=1&start=38&end=68&controls=0"
"Luther","SEUIL","https://www.youtube.com/embed/yEJrmqDS40U?autoplay=1&start=51&end=81&controls=0"
"Al Kapone","Whoop That Trick","https://www.youtube.com/embed/0qCYabLy1ic?autoplay=1&start=39&end=69&controls=0"
"Dick Dale","Misirlou","https://www.youtube.com/embed/mKpsuGMeqHI?autoplay=1&start=36&end=66&controls=0"
"Luther","TORIEL - VENI VIDI VIDE","https://www.youtube.com/embed/BmJu2zkWmkI?autoplay=1&start=31&end=61&controls=0"
"Amy Winehouse","Back To Black","https://www.youtube.com/embed/4Q4Gy2Z7xZ0?autoplay=1&start=34&end=64&controls=0"
"8Ball & MJG","Relax and Take Notes (feat. Notorious B.I.G. and Project Pat)","https://www.youtube.com/embed/Y_2fxREzBv4?autoplay=1&start=41&end=71&controls=0"
"Chase Atlantic","Moonlight","https://www.youtube.com/embed/vUNK5rIssww?autoplay=1&start=34&end=64&controls=0"
"Bloc Party","Banquet","https://www.youtube.com/embed/vdkmhquF60o?autoplay=1&start=38&end=68&controls=0"
"Dire Straits","Sultans Of Swing","https://www.youtube.com/embed/89Qg_gYqkys?autoplay=1&start=56&end=86&controls=0"
"Chase Atlantic","Church","https://www.youtube.com/embed/ke8RUVEcajI?autoplay=1&start=35&end=65&controls=0"
"The Black Keys","Lonely Boy","https://www.youtube.com/embed/qJMdZrOOef0?autoplay=1&start=54&end=84&controls=0"
"Soft Cell","Tainted Love","https://www.youtube.com/embed/TgyqZlFHokQ?autoplay=1&start=30&end=60&controls=0"
"Rounhaa","TOTENINSEL","https://www.youtube.com/embed/qmF6UI9fyfs?autoplay=1&start=55&end=85&controls=0"
"Coyote","3 Lokos","https://www.youtube.com/embed/ei02LcSl1ZI?autoplay=1&start=39&end=69&controls=0"
"The Clash","Should I Stay or Should I Go - Remastered","https://www.youtube.com/embed/e7tWqyM3r-g?autoplay=1&start=58&end=88&controls=0"
"DJ Shadow","Six Days - Remix","https://www.youtube.com/embed/W3_c4-4OMbM?autoplay=1&start=59&end=89&controls=0"
"The Chordettes","Mr. Sandman","https://www.youtube.com/embed/CX45pYvxDiA?autoplay=1&start=54&end=84&controls=0"
"Arctic Monkeys","R U Mine?","https://www.youtube.com/embed/voH0S0e01vs?autoplay=1&start=34&end=64&controls=0"
"The Monkees","I'm a Believer - 2006 Remaster","https://www.youtube.com/embed/55V6xLwsNGo?autoplay=1&start=52&end=82&controls=0"
"Gigi Perez","Sailor Song","https://www.youtube.com/embed/m0NZ-aH0G1g?autoplay=1&start=30&end=60&controls=0"
"Chase Atlantic","OUT THE ROOF","https://www.youtube.com/embed/Z3BXTHZGOZc?autoplay=1&start=32&end=62&controls=0"
"d4vd","Leave Her","https://www.youtube.com/embed/z9DgmcW6jC0?autoplay=1&start=51&end=81&controls=0"
"Conan Gray","Lonely Dancers","https://www.youtube.com/embed/1RF2AGOlMoU?autoplay=1&start=59&end=89&controls=0"
"Orelsan","Courez Courez","https://www.youtube.com/embed/ISwVz6OzmGc?autoplay=1&start=30&end=60&controls=0"
"FISHER","Losing It","https://www.youtube.com/embed/u31thuMehjM?autoplay=1&start=53&end=83&controls=0"
"The Weeknd","I Can't Fucking Sing","https://www.youtube.com/embed/0yiDQS3vH7I?autoplay=1&start=48&end=78&controls=0"
"Conan Gray","Found Heaven","https://www.youtube.com/embed/0RRKXGhDTOo?autoplay=1&start=45&end=75&controls=0"
"Luther","LESSGUI","https://www.youtube.com/embed/IP2dIU490kM?autoplay=1&start=52&end=82&controls=0"
"Beck","Loser","https://www.youtube.com/embed/CI-rKJdUiuU?autoplay=1&start=46&end=76&controls=0"
"THÉA","Ennui","https://www.youtube.com/embed/IWRxhRyzEWo?autoplay=1&start=38&end=68&controls=0"
"MC Hammer","U Can't Touch This","https://www.youtube.com/embed/otCpCn0l4Wo?autoplay=1&start=59&end=89&controls=0"
"Jeff Buckley","Hallelujah","https://www.youtube.com/embed/WIF4_Sm-rgQ?autoplay=1&start=49&end=79&controls=0"
"d4vd","Where'd It Go Wrong?","https://www.youtube.com/embed/Ewk2CygtBV4?autoplay=1&start=59&end=89&controls=0"
"d4vd","Notes From A Wrist","https://www.youtube.com/embed/qx7u-anbsLg?autoplay=1&start=37&end=67&controls=0"
"The Weeknd","The Abyss (feat. Lana Del Rey)","https://www.youtube.com/embed/S3ncfrQPpjs?autoplay=1&start=54&end=84&controls=0"
"Chase Atlantic","Keep It Up","https://www.youtube.com/embed/rp_qWqifiYA?autoplay=1&start=35&end=65&controls=0"
"Talk Talk","It's My Life","https://www.youtube.com/embed/_QjXmw7dhLY?autoplay=1&start=56&end=86&controls=0"
"Luther","ROUGE GORON","https://www.youtube.com/embed/CGjwqbaJ3xw?autoplay=1&start=52&end=82&controls=0"
"d4vd","My House Is Not A Home","https://www.youtube.com/embed/B4UdAJxAoiw?autoplay=1&start=45&end=75&controls=0"
"Luther","LOOK","https://www.youtube.com/embed/yq840BYK9Bk?autoplay=1&start=48&end=78&controls=0"
"Dalí","Carcan de cuir","https://www.youtube.com/embed/eDbRJvo5fpM?autoplay=1&start=44&end=74&controls=0"
"neophron","sometime","https://www.youtube.com/embed/9_8N6IgyZWc?autoplay=1&start=31&end=61&controls=0"
"d4vd","Here With Me","https://www.youtube.com/embed/B7Y4LHbpXv0?autoplay=1&start=48&end=78&controls=0"
"ABBA","SOS","https://www.youtube.com/embed/aKXAN-bcwRo?autoplay=1&start=30&end=60&controls=0"
"Gorillaz","19-2000","https://www.youtube.com/embed/xVDcD7wSfyE?autoplay=1&start=45&end=75&controls=0"
"Chase Atlantic","STUCKINMYBRAIN","https://www.youtube.com/embed/wiA8o6CnpT0?autoplay=1&start=31&end=61&controls=0"
"Arcane","Ma Meilleure Ennemie - From The Series ""Arcane League of Legends""","https://www.youtube.com/embed/1F3OGIFnW1k?autoplay=1&start=41&end=71&controls=0"
"Paul Anka","Put Your Head On My Shoulder - Remastered","https://www.youtube.com/embed/6UxqNTT6rE8?autoplay=1&start=31&end=61&controls=0"
"Gigi Perez","Karma","https://www.youtube.com/embed/XEwJGLEOHQw?autoplay=1&start=46&end=76&controls=0"
"Casseurs Flowters","Freestyle Radio Phoenix","https://www.youtube.com/embed/7jXjSx_Li4g?autoplay=1&start=42&end=72&controls=0"
"Bob Marley & The Wailers","Could You Be Loved","https://www.youtube.com/embed/uf9DjrIEEwc?autoplay=1&start=54&end=84&controls=0"
"BoyWithUke","Toxic","https://www.youtube.com/embed/Mvaosumc4hU?autoplay=1&start=43&end=73&controls=0"
"d4vd","You Left Me First","https://www.youtube.com/embed/8KxhKO9Sja8?autoplay=1&start=56&end=86&controls=0"
"Fousheé","Deep End","https://www.youtube.com/embed/j7QPOdO1QAc?autoplay=1&start=42&end=72&controls=0"
"Conan Gray","Eye Of The Night","https://www.youtube.com/embed/iGUHtNf4RBI?autoplay=1&start=51&end=81&controls=0"
"Kalash Criminel","Arrêt du cœur","https://www.youtube.com/embed/ecu5RD3Hu8s?autoplay=1&start=45&end=75&controls=0"
"Childish Gambino","Redbone","https://www.youtube.com/embed/k49I5m1J6Is?autoplay=1&start=52&end=82&controls=0"
"Orelsan","Dans ma ville, on traîne","https://www.youtube.com/embed/2cJSoSBVH24?autoplay=1&start=37&end=67&controls=0"
"Chase Atlantic","GREENGREENGREEN","https://www.youtube.com/embed/JSOwafXzJiQ?autoplay=1&start=36&end=66&controls=0"
"Lady Gaga","Die With A Smile","https://www.youtube.com/embed/PfH7jq_uSCM?autoplay=1&start=53&end=83&controls=0"
"Peachy!","Falling for U","https://www.youtube.com/embed/RSXiNSiiCsg?autoplay=1&start=49&end=79&controls=0"
"d4vd","2016","https://www.youtube.com/embed/g0B3Bz9pS1U?autoplay=1&start=55&end=85&controls=0"
"Séleste","Par milliers","https://www.youtube.com/embed/_yOTQj7eTZM?autoplay=1&start=36&end=66&controls=0"
"Modjo","Lady - Hear Me Tonight","https://www.youtube.com/embed/MzFYzXKWwik?autoplay=1&start=35&end=65&controls=0"
"Luther","ALAKAZAM","https://www.youtube.com/embed/drcb-_HQdHo?autoplay=1&start=48&end=78&controls=0"
"Luther","Câlins","https://www.youtube.com/embed/LW1pyES9-Lk?autoplay=1&start=43&end=73&controls=0"
"Billie Eilish","i love you","https://www.youtube.com/embed/WiinVuzh4DA?autoplay=1&start=56&end=86&controls=0"
"Imagination","Just an Illusion","https://www.youtube.com/embed/2PaUCz09u24?autoplay=1&start=59&end=89&controls=0"
"Aerosmith","Dream On","https://www.youtube.com/embed/89dGC8de0CA?autoplay=1&start=59&end=89&controls=0"
"Conan Gray","Alley Rose","https://www.youtube.com/embed/M6dsZ_2v40s?autoplay=1&start=40&end=70&controls=0"
"Chase Atlantic","Swim","https://www.youtube.com/embed/7yW_uJOpxww?autoplay=1&start=35&end=65&controls=0"
"Luther","LE SANG","https://www.youtube.com/embed/LGL63Y2vOP0?autoplay=1&start=32&end=62&controls=0"
"Luther","ALED","https://www.youtube.com/embed/yEJrmqDS40U?autoplay=1&start=46&end=76&controls=0"
"XXXTENTACION","Jocelyn Flores","https://www.youtube.com/embed/FAucVNRx_mU?autoplay=1&start=34&end=64&controls=0"
"Orelsan","Bonne meuf","https://www.youtube.com/embed/dVyzhCLaUdw?autoplay=1&start=42&end=72&controls=0"
"Elvis Presley","Jailhouse Rock","https://www.youtube.com/embed/PpsUOOfb-vE?autoplay=1&start=56&end=86&controls=0"
"ABBA","Mamma Mia","https://www.youtube.com/embed/U4Sm7v6PDY8?autoplay=1&start=59&end=89&controls=0"
"O.T. Genasis","I Look Good","https://www.youtube.com/embed/57xFW8RPX3g?autoplay=1&start=59&end=89&controls=0"
"Landy","Millions d'euros","https://www.youtube.com/embed/hc-Mq97aZ2Q?autoplay=1&start=30&end=60&controls=0"
"Casseurs Flowters","06h16 - Des histoires à raconter","https://www.youtube.com/embed/yBwtAySu7Mg?autoplay=1&start=46&end=76&controls=0"
"d4vd","Invisible String Theory (Interlude)","https://www.youtube.com/embed/jIH1_V7gDTM?autoplay=1&start=32&end=62&controls=0"
"Bryant Barnes","Universe","https://www.youtube.com/embed/M7gWwxG6OHY?autoplay=1&start=31&end=61&controls=0"
"The Beatles","Lady Madonna - Remastered 2015","https://www.youtube.com/embed/czhd27cN2dg?autoplay=1&start=55&end=85&controls=0"
"Billie Eilish","bad guy","https://www.youtube.com/embed/YD4utuFiexw?autoplay=1&start=56&end=86&controls=0"
"Linkin Park","Numb","https://www.youtube.com/embed/KIfYtDl4B2g?autoplay=1&start=47&end=77&controls=0"
"Led Zeppelin","Immigrant Song - Remaster","https://www.youtube.com/embed/y8OtzJtp-EM?autoplay=1&start=49&end=79&controls=0"
"Chase Atlantic","Drugs & Money - New Mix","https://www.youtube.com/embed/quF_LwIeVv8?autoplay=1&start=53&end=83&controls=0"
"Bryant Barnes","Want You All The Time","https://www.youtube.com/embed/M7gWwxG6OHY?autoplay=1&start=30&end=60&controls=0"
"JAY-Z","Ni**as In Paris","https://www.youtube.com/embed/fbFnF-86eYs?autoplay=1&start=37&end=67&controls=0"
"Davodka","Flemme olympique","https://www.youtube.com/embed/lOqno0YZ-ys?autoplay=1&start=30&end=60&controls=0"
"Armani White","BILLIE EILISH.","https://www.youtube.com/embed/QIk9soqUjxc?autoplay=1&start=33&end=63&controls=0"
"Arcane","To Ashes and Blood - From The Series ""Arcane League of Legends""","https://www.youtube.com/embed/Gj-jmBi0aK8?autoplay=1&start=48&end=78&controls=0"
"Lefa","Chloroquine","https://www.youtube.com/embed/M-suiY8bL5w?autoplay=1&start=47&end=77&controls=0"
"Rocco DeLuca","Crash of Worlds","https://www.youtube.com/embed/mBMKuEfQrV4?autoplay=1&start=50&end=80&controls=0"
"Lucky Luke","Cooler Than Me","https://www.youtube.com/embed/A3pJB4m713M?autoplay=1&start=42&end=72&controls=0"
"Arcane","Remember Me (from the series Arcane League of Legends)","https://www.youtube.com/embed/Tg9yLrJTmTc?autoplay=1&start=55&end=85&controls=0"
"Duran Duran","INVISIBLE","https://www.youtube.com/embed/FKwVFWwA_x8?autoplay=1&start=58&end=88&controls=0"
"Chase Atlantic","Meddle About","https://www.youtube.com/embed/MXp3lZQgwes?autoplay=1&start=47&end=77&controls=0"
"Chase Atlantic","Okay","https://www.youtube.com/embed/8A8QhQwWKqw?autoplay=1&start=38&end=68&controls=0"
"Orelsan","Jour meilleur","https://www.youtube.com/embed/ZT6IYZor9e8?autoplay=1&start=38&end=68&controls=0"
"Eurythmics","Sweet Dreams (Are Made of This) - 2005 Remaster","https://www.youtube.com/embed/eRhg7qPLeN8?autoplay=1&start=37&end=67&controls=0"
"Central Cee","6 For 6","https://www.youtube.com/embed/MPm2yXv0urU?autoplay=1&start=48&end=78&controls=0"
"Creedence Clearwater Revival","Bad Moon Rising","https://www.youtube.com/embed/tKJwvQfraY8?autoplay=1&start=40&end=70&controls=0"
"Kavinsky","Odd Look","https://www.youtube.com/embed/vJ1oyOazhEk?autoplay=1&start=48&end=78&controls=0"
"Bryant Barnes","Adore You","https://www.youtube.com/embed/S0JggED-l0s?autoplay=1&start=39&end=69&controls=0"
"Conan Gray","Jigsaw","https://www.youtube.com/embed/VhhTuFfYXqk?autoplay=1&start=36&end=66&controls=0"
"Dr. Dre","Deep Cover","https://www.youtube.com/embed/Op9Ml7pS6uA?autoplay=1&start=46&end=76&controls=0"
"America","A Horse with No Name","https://www.youtube.com/embed/na47wMFfQCo?autoplay=1&start=37&end=67&controls=0"
"Woody Jackson","American Venom","https://www.youtube.com/embed/AF22vaGLziM?autoplay=1&start=43&end=73&controls=0"
"The Kinks","You Really Got Me","https://www.youtube.com/embed/fTTsY-oz6Go?autoplay=1&start=54&end=84&controls=0"
"Groove Armada","Hands of Time","https://www.youtube.com/embed/KDmtOW8hd54?autoplay=1&start=47&end=77&controls=0"
"Davay","Tri Poloski","https://www.youtube.com/embed/K4OA_DHgfzE?autoplay=1&start=51&end=81&controls=0"
"d4vd","Once More","https://www.youtube.com/embed/T02isJ9uh-o?autoplay=1&start=42&end=72&controls=0"
"Soso Maness","Petrouchka (feat. PLK)","https://www.youtube.com/embed/zzms5qmIYuU?autoplay=1&start=37&end=67&controls=0"
"Conan Gray","Winner","https://www.youtube.com/embed/DDqOI71Aq_M?autoplay=1&start=49&end=79&controls=0"
"George Harrison","Got My Mind Set on You","https://www.youtube.com/embed/SuJuJA5k44Y?autoplay=1&start=57&end=87&controls=0"
"Coolio","Gangsta's Paradise","https://www.youtube.com/embed/Tw0_qHNRAEA?autoplay=1&start=33&end=63&controls=0"
"Orelsan","La petite marchande de porte-clefs","https://www.youtube.com/embed/zjgMfGGZmrc?autoplay=1&start=32&end=62&controls=0"
"Daft Punk","Harder, Better, Faster, Stronger","https://www.youtube.com/embed/yydNF8tuVmU?autoplay=1&start=59&end=89&controls=0"
"Chase Atlantic","Into It","https://www.youtube.com/embed/lZp96uELegI?autoplay=1&start=44&end=74&controls=0"
"Chase Atlantic","LUST","https://www.youtube.com/embed/g3maqr6yQTQ?autoplay=1&start=52&end=82&controls=0"
"Chase Atlantic","Right Here","https://www.youtube.com/embed/Z4kzes_3FJY?autoplay=1&start=37&end=67&controls=0"
"Ludwig Göransson","Can You Hear The Music","https://www.youtube.com/embed/4JZ-o3iAJv4?autoplay=1&start=45&end=75&controls=0"
"d4vd","One More Dance","https://www.youtube.com/embed/DPBuJWUNQEM?autoplay=1&start=49&end=79&controls=0"
"Bryant Barnes","Is This Love To You","https://www.youtube.com/embed/wBR8OVEJwjo?autoplay=1&start=57&end=87&controls=0"
"Arizona Zervas","ROXANNE","https://www.youtube.com/embed/F635hayVNic?autoplay=1&start=42&end=72&controls=0"
"d4vd","It’s That Time Again","https://www.youtube.com/embed/h_htPQtTbOc?autoplay=1&start=51&end=81&controls=0"
"d4vd","Atomic Land","https://www.youtube.com/embed/lUzyYt4MalY?autoplay=1&start=45&end=75&controls=0"
"abel31",".50BMG","https://www.youtube.com/embed/xqnqMVe9Z4w?autoplay=1&start=49&end=79&controls=0"
"Big Pun","Twinz (feat. Fat Joe)","https://www.youtube.com/embed/-7fBmlX80fA?autoplay=1&start=55&end=85&controls=0"
"THÉA","JUSTE AMIS","https://www.youtube.com/embed/kBSCSWkWrYw?autoplay=1&start=43&end=73&controls=0"
"MC Solaar","Bouge de là - Part. 1","https://www.youtube.com/embed/eaPfUf051sc?autoplay=1&start=46&end=76&controls=0"
"Labrinth","Mount Everest","https://www.youtube.com/embed/kwrYDTHKxiE?autoplay=1&start=38&end=68&controls=0"
"Conan Gray","Wish You Were Sober","https://www.youtube.com/embed/RHyE_erqAe0?autoplay=1&start=40&end=70&controls=0"
"Nena","99 Luftballons","https://www.youtube.com/embed/TMSlTQmDLx4?autoplay=1&start=55&end=85&controls=0"
"Foster The People","Pumped Up Kicks","https://www.youtube.com/embed/k_aQYP8rsgE?autoplay=1&start=59&end=89&controls=0"
"Naps","Recherché","https://www.youtube.com/embed/-rF_8dM8DX8?autoplay=1&start=37&end=67&controls=0"
"MEUTE","Peace","https://www.youtube.com/embed/GeqCPGujnsE?autoplay=1&start=43&end=73&controls=0"
"The Rolling Stones","Paint It, Black","https://www.youtube.com/embed/O4irXQhgMqg?autoplay=1&start=58&end=88&controls=0"
"Chase Atlantic","PARANOID","https://www.youtube.com/embed/zpK1ICt5Tms?autoplay=1&start=36&end=66&controls=0"
"HollowS","Meda","https://www.youtube.com/embed/2uiL5ewGP1w?autoplay=1&start=50&end=80&controls=0"
"Paul Kalkbrenner","Feed Your Head","https://www.youtube.com/embed/QqKy5h0yX5c?autoplay=1&start=52&end=82&controls=0"
"The Beatles","Drive My Car - Remastered 2009","https://www.youtube.com/embed/6ZwNO_zAqOo?autoplay=1&start=53&end=83&controls=0"
"Monty Python","Always Look On The Bright Side Of Life","https://www.youtube.com/embed/GvIjNpFZQtE?autoplay=1&start=55&end=85&controls=0"
"d4vd","Say It Back","https://www.youtube.com/embed/mphrDW0QIsY?autoplay=1&start=32&end=62&controls=0"
"Portugal. The Man","Feel It Still","https://www.youtube.com/embed/qDIMlYaT5Hg?autoplay=1&start=38&end=68&controls=0"
"Led Zeppelin","Kashmir - Remaster","https://www.youtube.com/embed/gEYqSorzOZs?autoplay=1&start=52&end=82&controls=0"
"Gorillaz","Dirty Harry","https://www.youtube.com/embed/hBie-xdbLeM?autoplay=1&start=49&end=79&controls=0"
"Conan Gray","Family Line","https://www.youtube.com/embed/0siR6U54-iE?autoplay=1&start=58&end=88&controls=0"
"Dr. Dre","Keep Their Heads Ringin'","https://www.youtube.com/embed/Gg5KfL-4asE?autoplay=1&start=36&end=66&controls=0"
